timestamp,strategy_id,leg,decision,mode,spot,vix,pcr_oi,max_pain,max_pain_dist_pct,iv_skew_ratio,move_from_open_pct,morning_range_pct,dte,hour,minute,day_of_week,is_expiry,rule_score,ai_adj,final_score,threshold,regime,entry_premium,quantity,exit_reason,outcome_pnl,held_minutes,breakout_strength,oi_confirmed,trend_duration_minutes,vix_prev,banknifty_confirming,bn_data_available,score_f1_breakout,score_f2_oi,score_f3_duration,score_f4_vix_level,score_f5_vix_dir,score_f6_banknifty,score_clamp_hit,trend_signal_threshold
2026-04-07T09:30:00+05:30,portfolio_replay,PREMIUM,SKIP,idle,22886.9,25.52,1.2749206467677163,22800.0,0.38,1.061,0.354,1.125,0,9,30,1,1,15,0,15,75,choppy,0.0,0,,,,0.0,False,0,0.0,,False,0,0,0,0,0,0,False,0
2026-04-07T09:35:00+05:30,portfolio_replay,PREMIUM,SKIP,idle,22830.75,25.5,1.266051831616587,22850.0,0.08,1.087,0.108,1.082,0,9,35,1,1,35,0,35,75,conflicted,0.0,0,,,,0.0,False,0,0.0,,False,0,0,0,0,0,0,False,0
2026-04-07T09:40:00+05:30,portfolio_replay,PREMIUM,SKIP,idle,22851.2,25.55,1.1604067369729034,22850.0,0.01,1.076,0.198,1.051,0,9,40,1,1,32,0,32,75,choppy,0.0,0,,,,0.0,False,0,0.0,,False,0,0,0,0,0,0,False,0
2026-04-07T09:45:00+05:30,portfolio_replay,PREMIUM,SKIP,idle,22807.6,25.61,1.1528797674750297,22850.0,0.19,1.019,0.006,0.691,0,9,45,1,1,50,0,50,75,conflicted,0.0,0,,,,0.0,False,0,0.0,,False,0,0,0,0,0,0,False,0
2026-04-07T09:50:00+05:30,portfolio_replay,PREMIUM,SKIP,idle,22829.05,25.6,1.1351461194023291,22850.0,0.09,0.994,0.1,0.567,0,9,50,1,1,50,0,50,75,conflicted,0.0,0,,,,0.0,False,0,0.0,,False,0,0,0,0,0,0,False,0
2026-04-07T09:55:00+05:30,portfolio_replay,PREMIUM,SKIP,idle,22859.2,25.56,1.1240320283924286,22850.0,0.04,1.01,0.233,0.453,0,9,55,1,1,44,0,44,75,conflicted,0.0,0,,,,0.0,False,0,0.0,,False,0,0,0,0,0,0,False,0
2026-04-07T10:00:00+05:30,portfolio_replay,PREMIUM,SKIP,idle,22892.4,25.55,1.1207158655613287,22850.0,0.19,0.996,0.378,0.454,0,10,0,1,1,37,0,37,65,choppy,0.0,0,,,,0.0,False,0,0.0,,False,0,0,0,0,0,0,False,0
2026-04-07T10:05:00+05:30,portfolio_replay,PREMIUM,SKIP,idle,22919.6,25.5,1.1771032566333484,22850.0,0.3,1.012,0.497,0.585,0,10,5,1,1,30,0,30,65,choppy,0.0,0,,,,0.0,False,0,0.0,,False,0,0,0,0,0,0,False,0
2026-04-07T10:10:00+05:30,portfolio_replay,PREMIUM,SKIP,idle,22904.95,25.6,1.1971666410658213,22900.0,0.02,0.995,0.433,0.596,0,10,10,1,1,30,0,30,65,choppy,0.0,0,,,,0.0,False,0,0.0,,False,0,0,0,0,0,0,False,0
2026-04-07T10:15:00+05:30,portfolio_replay,PREMIUM,SKIP,idle,22919.75,25.58,1.1721167059550952,22900.0,0.09,1.051,0.498,0.49,0,10,15,1,1,37,0,37,65,choppy,0.0,0,,,,0.0,False,0,0.0,,False,0,0,0,0,0,0,False,0
2026-04-07T10:20:00+05:30,portfolio_replay,PREMIUM,SKIP,idle,22927.2,25.49,1.2100022081322355,22900.0,0.12,0.984,0.531,0.522,0,10,20,1,1,15,0,15,65,trending,0.0,0,,,,0.0,False,0,0.0,,False,0,0,0,0,0,0,False,0
2026-04-07T10:25:00+05:30,portfolio_replay,PREMIUM,SKIP,idle,22932.15,25.41,1.1966424240491345,22900.0,0.14,1.032,0.552,0.391,0,10,25,1,1,32,0,32,65,trending,0.0,0,,,,0.0,False,0,0.0,,False,0,0,0,0,0,0,False,0
2026-04-07T10:30:00+05:30,portfolio_replay,PREMIUM,SKIP,idle,22931.85,25.39,1.1989988078582139,22900.0,0.14,1.047,0.551,0.245,0,10,30,1,1,45,0,45,65,trending,0.0,0,,,,0.0,False,0,0.0,,False,0,0,0,0,0,0,False,0
