timestamp,strategy_id,leg,decision,mode,spot,vix,pcr_oi,max_pain,max_pain_dist_pct,iv_skew_ratio,move_from_open_pct,morning_range_pct,dte,hour,minute,day_of_week,is_expiry,rule_score,ai_adj,final_score,threshold,regime,entry_premium,quantity,exit_reason,outcome_pnl,held_minutes
2026-02-05T09:30:00+05:30,portfolio_hist,PREMIUM,ENTER,strangle,25700.3,12.25,1.0,0.0,0.0,1.036,0.099,0.469,5,9,30,3,0,87,0,87,75,pre_market,61.54,75,,,
2026-02-05T11:12:00+05:30,portfolio_hist,PREMIUM,EXIT,strangle,25671.35,12.15,1.0,0.0,0.0,1.036,0.014,0.186,5,11,12,3,0,0,0,0,0,pre_market,0.0,0,Profit target: premium decayed 12.2%,562.5,102
2026-02-05T12:10:00+05:30,portfolio_hist,TREND,ENTER,debit_spread,25637.35,12.23,1.0,0.0,0.0,1.036,0.146,0.183,5,12,10,3,0,63,0,63,60,pre_market,36.67,75,,,
2026-02-05T15:15:00+05:30,portfolio_hist,TREND,EXIT,debit_spread,25634.4,12.16,1.0,0.0,0.0,1.036,0.158,0.199,5,15,15,3,0,0,0,0,0,pre_market,0.0,0,Time exit,-9.75,185
2026-02-05T09:30:00+05:30,portfolio_replay,PREMIUM,ENTER,strangle,25700.3,12.25,1.0,0.0,0.0,1.306,0.099,0.381,5,9,30,3,0,87,0,87,75,low_vol_range,0.66,75,,,
2026-02-05T09:43:00+05:30,portfolio_replay,PREMIUM,EXIT,strangle,25646.5,12.35,1.0,0.0,0.0,1.305,0.111,0.339,5,9,43,3,0,0,0,0,0,low_vol_range,0.0,0,Stop loss: premium up 33.3%,-16.5,13
2026-02-05T09:44:00+05:30,portfolio_replay,PREMIUM,ENTER,strangle,25635.15,12.37,1.0,0.0,0.0,1.305,0.155,0.339,5,9,44,3,0,74,0,74,75,low_vol_range,0.97,75,,,
2026-02-05T10:10:00+05:30,portfolio_replay,PREMIUM,EXIT,strangle,25660.6,12.39,1.0,0.0,0.0,1.305,0.056,0.168,5,10,10,3,0,0,0,0,0,low_vol_range,0.0,0,Profit target: premium decayed 24.7%,18.0,26
2026-02-05T12:05:00+05:30,portfolio_replay,TREND,ENTER,debit_spread,25653.65,12.18,1.0,0.0,0.0,1.306,0.083,0.183,5,12,5,3,0,38,0,38,60,low_vol_range,33.9,75,,,
2026-02-05T15:15:00+05:30,portfolio_replay,TREND,EXIT,debit_spread,25634.4,12.16,1.0,0.0,0.0,1.305,0.158,0.199,5,15,15,3,0,0,0,0,0,low_vol_range,0.0,0,Time exit,210.0,190
