time,underlying,expiry,strike,option_type,ltp,iv,delta,gamma,theta,vega,oi,volume,bid_price,ask_price
2026-04-09T09:15:09.229627+05:30,NIFTY,2026-04-21,22450.0,CE,1463.15,0.0,1.0,0.0,0.0,0.0,2990,0,0.0,0.0
2026-04-09T09:15:09.229627+05:30,NIFTY,2026-04-21,22450.0,PE,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
2026-04-09T09:15:09.229627+05:30,NIFTY,2026-04-21,22500.0,CE,1562.2,0.3272,0.8627,0.000155,-16.6376,9.5231,72475,0,0.0,0.0
2026-04-09T09:15:09.229627+05:30,NIFTY,2026-04-21,22500.0,PE,43.3,0.2562,-0.0837,0.000139,-6.7251,6.6685,359580,0,0.0,0.0
2026-04-09T09:15:09.229627+05:30,NIFTY,2026-04-21,22550.0,CE,1450.0,0.243,0.9196,0.000142,-10.4887,6.469,1365,0,0.0,0.0
2026-04-09T09:15:09.229627+05:30,NIFTY,2026-04-21,22550.0,PE,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
2026-04-09T09:15:09.229627+05:30,NIFTY,2026-04-21,22600.0,CE,1477.95,0.3268,0.8459,0.000168,-17.6075,10.2921,17420,0,0.0,0.0
2026-04-09T09:15:09.229627+05:30,NIFTY,2026-04-21,22600.0,PE,49.45,0.2511,-0.0951,0.000155,-7.2274,7.3333,73515,0,0.0,0.0
2026-04-09T09:15:09.229627+05:30,NIFTY,2026-04-21,22650.0,CE,1401.5,0.292,0.8625,0.000174,-15.2805,9.53,2080,0,0.0,0.0
2026-04-09T09:15:09.229627+05:30,NIFTY,2026-04-21,22650.0,PE,52.65,0.2483,-0.1011,0.000164,-7.4634,7.6712,27755,0,0.0,0.0
2026-04-09T09:15:09.229627+05:30,NIFTY,2026-04-21,22700.0,CE,1391.95,0.3231,0.83,0.000181,-18.3064,10.9688,35100,0,0.0,0.0
2026-04-09T09:15:09.229627+05:30,NIFTY,2026-04-21,22700.0,PE,56.15,0.2456,-0.1076,0.000174,-7.7096,8.0261,102180,0,0.0,0.0
2026-04-09T09:15:09.229627+05:30,NIFTY,2026-04-21,22750.0,CE,1330.8,0.3044,0.8339,0.000189,-17.2769,10.8084,4940,0,0.0,0.0
2026-04-09T09:15:09.229627+05:30,NIFTY,2026-04-21,22750.0,PE,59.5,0.2424,-0.1141,0.000184,-7.9204,8.3703,12090,0,0.0,0.0
2026-04-09T09:15:09.229627+05:30,NIFTY,2026-04-21,22800.0,CE,1300.35,0.3134,0.8172,0.000195,-18.4934,11.4849,23790,0,0.0,0.0
2026-04-09T09:15:09.229627+05:30,NIFTY,2026-04-21,22800.0,PE,63.3,0.2395,-0.1213,0.000194,-8.1522,8.7388,164060,0,0.0,0.0
2026-04-09T09:15:09.229627+05:30,NIFTY,2026-04-21,22850.0,CE,1268.0,0.3195,0.8025,0.000201,-19.4717,12.0441,3380,0,0.0,0.0
2026-04-09T09:15:09.229627+05:30,NIFTY,2026-04-21,22850.0,PE,67.95,0.2372,-0.1296,0.000205,-8.4356,9.1497,23985,0,0.0,0.0
2026-04-09T09:15:09.229627+05:30,NIFTY,2026-04-21,22900.0,CE,1203.95,0.2989,0.8065,0.000212,-18.2806,11.8948,34645,0,0.0,0.0
2026-04-09T09:15:09.229627+05:30,NIFTY,2026-04-21,22900.0,PE,71.75,0.2336,-0.1371,0.000217,-8.6185,9.5131,127985,0,0.0,0.0
2026-04-09T09:15:09.229627+05:30,NIFTY,2026-04-21,22950.0,CE,1152.65,0.2889,0.8028,0.000222,-17.9488,12.0351,8385,0,0.0,0.0
2026-04-09T09:15:09.229627+05:30,NIFTY,2026-04-21,22950.0,PE,77.45,0.2317,-0.1468,0.000229,-8.9326,9.9642,18915,0,0.0,0.0
2026-04-09T09:15:09.229627+05:30,NIFTY,2026-04-21,23000.0,CE,1108.65,0.2849,0.7941,0.000231,-18.0883,12.3492,85865,0,0.0,0.0
2026-04-09T09:15:09.229627+05:30,NIFTY,2026-04-21,23000.0,PE,81.7,0.228,-0.1553,0.000241,-9.0984,10.3433,599820,0,0.0,0.0
2026-04-09T09:15:09.229627+05:30,NIFTY,2026-04-21,23050.0,CE,971.85,0.1981,0.8645,0.000253,-11.5693,9.4384,5915,0,0.0,0.0
2026-04-09T09:15:09.229627+05:30,NIFTY,2026-04-21,23050.0,PE,87.1,0.2251,-0.1652,0.000255,-9.3241,10.7682,18720,0,0.0,0.0
2026-04-09T09:15:09.229627+05:30,NIFTY,2026-04-21,23100.0,CE,1017.9,0.274,0.7776,0.000251,-18.1129,12.9153,38740,0,0.0,0.0
2026-04-09T09:15:09.229627+05:30,NIFTY,2026-04-21,23100.0,PE,93.85,0.223,-0.1766,0.000268,-9.6131,11.2377,150865,0,0.0,0.0
2026-04-09T09:15:09.229627+05:30,NIFTY,2026-04-21,23150.0,CE,985.8,0.2781,0.7613,0.000257,-18.873,13.4362,4420,0,0.0,0.0
2026-04-09T09:15:09.229627+05:30,NIFTY,2026-04-21,23150.0,PE,99.95,0.2199,-0.1876,0.000282,-9.8158,11.6724,12415,0,0.0,0.0
2026-04-09T09:15:09.229627+05:30,NIFTY,2026-04-21,23200.0,CE,940.25,0.2718,0.7524,0.000268,-18.7909,13.7046,34580,0,0.0,0.0
2026-04-09T09:15:09.229627+05:30,NIFTY,2026-04-21,23200.0,PE,107.6,0.2177,-0.2003,0.000297,-10.0823,12.1479,136500,0,0.0,0.0
2026-04-09T09:15:09.229627+05:30,NIFTY,2026-04-21,23250.0,CE,894.3,0.265,0.7433,0.00028,-18.6599,13.9681,4615,0,0.0,0.0
2026-04-09T09:15:09.229627+05:30,NIFTY,2026-04-21,23250.0,PE,115.0,0.2149,-0.2131,0.000312,-10.286,12.6011,14690,0,0.0,0.0
2026-04-09T09:15:09.229627+05:30,NIFTY,2026-04-21,23300.0,CE,854.45,0.2623,0.7307,0.00029,-18.8308,14.3165,39000,0,0.0,0.0
2026-04-09T09:15:09.229627+05:30,NIFTY,2026-04-21,23300.0,PE,121.7,0.2112,-0.2257,0.000328,-10.4016,13.024,158080,0,0.0,0.0
2026-04-09T09:15:09.229627+05:30,NIFTY,2026-04-21,23350.0,CE,804.85,0.2525,0.7224,0.000306,-18.4442,14.5318,6890,0,0.0,0.0
2026-04-09T09:15:09.229627+05:30,NIFTY,2026-04-21,23350.0,PE,131.8,0.2096,-0.2413,0.000343,-10.6703,13.5157,31200,0,0.0,0.0
2026-04-09T09:15:09.229627+05:30,NIFTY,2026-04-21,23400.0,CE,782.55,0.2608,0.701,0.000307,-19.4207,15.0497,65130,0,0.0,0.0
2026-04-09T09:15:09.229627+05:30,NIFTY,2026-04-21,23400.0,PE,141.95,0.2075,-0.2572,0.000359,-10.8808,13.9825,148590,0,0.0,0.0
2026-04-09T09:15:09.229627+05:30,NIFTY,2026-04-21,23450.0,CE,733.0,0.2505,0.6915,0.000324,-18.9608,15.2614,6240,0,0.0,0.0
2026-04-09T09:15:09.229627+05:30,NIFTY,2026-04-21,23450.0,PE,150.55,0.2038,-0.2725,0.000376,-10.9482,14.3988,49205,0,0.0,0.0
2026-04-09T09:15:09.229627+05:30,NIFTY,2026-04-21,23500.0,CE,692.4,0.2458,0.6776,0.000337,-18.9018,15.5507,150280,0,0.0,0.0
2026-04-09T09:15:09.229627+05:30,NIFTY,2026-04-21,23500.0,PE,161.25,0.2011,-0.2896,0.000392,-11.0667,14.8293,325455,0,0.0,0.0
2026-04-09T09:15:09.229627+05:30,NIFTY,2026-04-21,23550.0,CE,660.3,0.2461,0.6602,0.000343,-19.1857,15.8812,20670,0,0.0,0.0
2026-04-09T09:15:09.229627+05:30,NIFTY,2026-04-21,23550.0,PE,381.5,0.3291,-0.3737,0.000265,-20.7318,16.4213,975,0,0.0,0.0
2026-04-09T09:15:09.229627+05:30,NIFTY,2026-04-21,23600.0,CE,618.5,0.2398,0.6457,0.000358,-18.9585,16.1275,45175,0,0.0,0.0
2026-04-09T09:15:09.229627+05:30,NIFTY,2026-04-21,23600.0,PE,184.95,0.1957,-0.3266,0.000425,-11.2128,15.6342,87815,0,0.0,0.0
2026-04-09T09:15:09.229627+05:30,NIFTY,2026-04-21,23650.0,CE,583.35,0.2373,0.6286,0.000368,-18.9715,16.3878,10270,0,0.0,0.0
2026-04-09T09:15:09.229627+05:30,NIFTY,2026-04-21,23650.0,PE,198.1,0.193,-0.3466,0.000441,-11.2359,15.9991,36335,0,0.0,0.0
2026-04-09T09:15:09.229627+05:30,NIFTY,2026-04-21,23700.0,CE,545.2,0.2324,0.6118,0.00038,-18.7858,16.6108,68120,0,0.0,0.0
2026-04-09T09:15:09.229627+05:30,NIFTY,2026-04-21,23700.0,PE,212.2,0.1903,-0.3675,0.000457,-11.2213,16.3317,71175,0,0.0,0.0
2026-04-09T09:15:09.229627+05:30,NIFTY,2026-04-21,23750.0,CE,509.2,0.2284,0.5939,0.000392,-18.6249,16.814,16380,0,0.0,0.0
2026-04-09T09:15:09.229627+05:30,NIFTY,2026-04-21,23750.0,PE,228.8,0.1885,-0.3898,0.00047,-11.2294,16.6312,11765,0,0.0,0.0
2026-04-09T09:15:09.229627+05:30,NIFTY,2026-04-21,23800.0,CE,476.1,0.2256,0.5748,0.000401,-18.5124,16.9903,261040,0,0.0,0.0
2026-04-09T09:15:09.229627+05:30,NIFTY,2026-04-21,23800.0,PE,241.85,0.1839,-0.4119,0.000488,-10.9956,16.8711,145470,0,0.0,0.0
2026-04-09T09:15:09.229627+05:30,NIFTY,2026-04-21,23850.0,CE,446.15,0.2241,0.5548,0.000407,-18.4515,17.1313,30420,0,0.0,0.0
2026-04-09T09:15:09.229627+05:30,NIFTY,2026-04-21,23850.0,PE,259.95,0.1818,-0.4359,0.0005,-10.8806,17.0712,38805,0,0.0,0.0
2026-04-09T09:15:09.229627+05:30,NIFTY,2026-04-21,23900.0,CE,413.3,0.2203,0.5347,0.000416,-18.1868,17.2294,170235,0,0.0,0.0
2026-04-09T09:15:09.229627+05:30,NIFTY,2026-04-21,23900.0,PE,278.6,0.1792,-0.4607,0.000511,-10.6869,17.2108,251680,0,0.0,0.0
2026-04-09T09:15:09.229627+05:30,NIFTY,2026-04-21,23950.0,CE,382.7,0.2173,0.5138,0.000423,-17.9291,17.2844,55055,0,0.0,0.0
2026-04-09T09:15:09.229627+05:30,NIFTY,2026-04-21,23950.0,PE,298.3,0.1766,-0.4863,0.000521,-10.4307,17.2846,59995,0,0.0,0.0
2026-04-09T09:15:09.229627+05:30,NIFTY,2026-04-21,24000.0,CE,355.7,0.2157,0.4925,0.000427,-17.7318,17.2918,709475,0,0.0,0.0
2026-04-09T09:15:09.229627+05:30,NIFTY,2026-04-21,24000.0,PE,319.5,0.1741,-0.5126,0.000528,-10.1261,17.2862,522535,0,0.0,0.0
2026-04-09T09:15:09.229627+05:30,NIFTY,2026-04-21,24050.0,CE,329.7,0.2141,0.471,0.000429,-17.4858,17.2492,54275,0,0.0,0.0
2026-04-09T09:15:09.229627+05:30,NIFTY,2026-04-21,24050.0,PE,339.8,0.1703,-0.54,0.000538,-9.6669,17.2079,50700,0,0.0,0.0
2026-04-09T09:15:09.229627+05:30,NIFTY,2026-04-21,24100.0,CE,301.0,0.2103,0.4486,0.000434,-17.0303,17.1512,117780,0,0.0,0.0
2026-04-09T09:15:09.229627+05:30,NIFTY,2026-04-21,24100.0,PE,363.65,0.1677,-0.5678,0.000541,-9.2375,17.0447,46865,0,0.0,0.0
2026-04-09T09:15:09.229627+05:30,NIFTY,2026-04-21,24150.0,CE,274.75,0.2073,0.4259,0.000436,-16.5806,16.9959,36205,0,0.0,0.0
