time,underlying,expiry,strike,option_type,ltp,iv,delta,gamma,theta,vega,oi,volume,bid_price,ask_price
2026-04-13T09:15:47.623581+05:30,NIFTY,2026-04-21,22550.0,CE,1538.6,0.6335,0.7143,0.000153,-50.04,11.8946,975,0,1154.85,1208.7
2026-04-13T09:15:47.623581+05:30,NIFTY,2026-04-21,22550.0,PE,48.6,0.268,-0.1063,0.000196,-10.2629,6.4193,37180,21905,48.55,50.3
2026-04-13T09:15:47.623581+05:30,NIFTY,2026-04-21,22600.0,CE,1159.1,0.3081,0.8515,0.000215,-19.2458,8.1058,11700,260,1133.8,1143.25
2026-04-13T09:15:47.623581+05:30,NIFTY,2026-04-21,22600.0,PE,54.4,0.2678,-0.1167,0.000209,-10.9489,6.8634,467805,62855,54.0,54.6
2026-04-13T09:15:47.623581+05:30,NIFTY,2026-04-21,22650.0,CE,1384.0,0.5601,0.7177,0.000172,-44.3897,11.8277,1820,0,1057.85,1121.25
2026-04-13T09:15:47.623581+05:30,NIFTY,2026-04-21,22650.0,PE,59.45,0.2661,-0.1262,0.000222,-11.4735,7.2508,72800,12545,58.55,60.35
2026-04-13T09:15:47.623581+05:30,NIFTY,2026-04-21,22700.0,CE,1372.95,0.5794,0.7033,0.000171,-46.7724,12.1083,30225,0,1034.1,1073.5
2026-04-13T09:15:47.623581+05:30,NIFTY,2026-04-21,22700.0,PE,63.9,0.2625,-0.1353,0.000237,-11.8581,7.6089,266695,57785,63.7,64.05
2026-04-13T09:15:47.623581+05:30,NIFTY,2026-04-21,22750.0,CE,1272.4,0.5241,0.7099,0.000187,-42.2182,11.9815,4615,0,988.9,1030.05
2026-04-13T09:15:47.623581+05:30,NIFTY,2026-04-21,22750.0,PE,68.85,0.2595,-0.145,0.000251,-12.2691,7.978,53690,26650,69.15,70.7
2026-04-13T09:15:47.623581+05:30,NIFTY,2026-04-21,22800.0,CE,970.0,0.2812,0.8227,0.000264,-19.5282,9.0958,36140,65,954.3,964.5
2026-04-13T09:15:47.623581+05:30,NIFTY,2026-04-21,22800.0,PE,74.8,0.257,-0.1562,0.000266,-12.7446,8.383,410800,65000,74.85,75.45
2026-04-13T09:15:47.623581+05:30,NIFTY,2026-04-21,22850.0,CE,1215.0,0.532,0.6881,0.00019,-44.0473,12.3802,3510,0,901.65,944.55
2026-04-13T09:15:47.623581+05:30,NIFTY,2026-04-21,22850.0,PE,83.35,0.257,-0.1703,0.000282,-13.4526,8.8676,47060,8970,82.95,83.15
2026-04-13T09:15:47.623581+05:30,NIFTY,2026-04-21,22900.0,CE,1217.6,0.5599,0.6713,0.000185,-47.0927,12.6539,35880,0,858.1,890.45
2026-04-13T09:15:47.623581+05:30,NIFTY,2026-04-21,22900.0,PE,88.65,0.2526,-0.1813,0.000298,-13.7246,9.2262,299975,70070,88.55,89.45
2026-04-13T09:15:47.623581+05:30,NIFTY,2026-04-21,22950.0,CE,1150.0,0.5318,0.6682,0.000195,-45.0284,12.7015,7865,0,812.75,850.35
2026-04-13T09:15:47.623581+05:30,NIFTY,2026-04-21,22950.0,PE,96.15,0.2497,-0.195,0.000315,-14.1588,9.6492,67275,16900,96.15,97.95
2026-04-13T09:15:47.623581+05:30,NIFTY,2026-04-21,23000.0,CE,1121.85,0.5346,0.6575,0.000196,-45.7277,12.859,243295,0,784.8,791.3
2026-04-13T09:15:47.623581+05:30,NIFTY,2026-04-21,23000.0,PE,104.0,0.2472,-0.2089,0.000332,-14.5725,10.0568,1638585,306085,104.0,104.6
2026-04-13T09:15:47.623581+05:30,NIFTY,2026-04-21,23050.0,CE,1090.0,0.5346,0.6471,0.000199,-46.1684,13.0011,4420,0,733.85,769.4
2026-04-13T09:15:47.623581+05:30,NIFTY,2026-04-21,23050.0,PE,113.1,0.245,-0.2245,0.000349,-15.0144,10.4827,69420,17940,112.7,114.65
2026-04-13T09:15:47.623581+05:30,NIFTY,2026-04-21,23100.0,CE,715.9,0.2596,0.745,0.000353,-21.4776,11.2384,63505,715,707.25,713.5
2026-04-13T09:15:47.623581+05:30,NIFTY,2026-04-21,23100.0,PE,122.5,0.2424,-0.2406,0.000367,-15.3938,10.8941,778310,125450,122.3,123.45
2026-04-13T09:15:47.623581+05:30,NIFTY,2026-04-21,23150.0,CE,674.0,0.2538,0.7314,0.000371,-21.4949,11.5421,4095,455,669.15,683.3
2026-04-13T09:15:47.623581+05:30,NIFTY,2026-04-21,23150.0,PE,133.65,0.2405,-0.2585,0.000384,-15.8174,11.3187,93730,23530,133.3,134.6
2026-04-13T09:15:47.623581+05:30,NIFTY,2026-04-21,23200.0,CE,634.0,0.2503,0.7144,0.000388,-21.7199,11.8932,58500,5005,629.05,634.4
2026-04-13T09:15:47.623581+05:30,NIFTY,2026-04-21,23200.0,PE,144.4,0.2378,-0.2764,0.000402,-16.1139,11.7058,991250,87100,143.4,144.0
