date,open,high,low,close,volume,oi
2025-09-01T11:32:00+05:30,24555.75,24555.75,24545.1,24546.3,0,0
2025-09-01T11:33:00+05:30,24546.6,24547.35,24544.45,24545.0,0,0
2025-09-01T11:34:00+05:30,24544.85,24545.65,24537.45,24543.15,0,0
2025-09-01T11:35:00+05:30,24543.15,24547.7,24543.15,24546.25,0,0
2025-09-01T11:36:00+05:30,24545.9,24547.25,24544.3,24544.6,0,0
2025-09-01T11:37:00+05:30,24544.7,24545.55,24540.75,24541.7,0,0
2025-09-01T11:38:00+05:30,24542.15,24543.3,24540.65,24542.75,0,0
2025-09-01T11:39:00+05:30,24543.8,24544.8,24542.35,24544.0,0,0
2025-09-01T11:40:00+05:30,24543.5,24545.0,24542.15,24543.85,0,0
2025-09-01T11:41:00+05:30,24544.05,24545.95,24543.3,24543.8,0,0
2025-09-01T11:42:00+05:30,24543.9,24544.3,24541.25,24543.6,0,0
2025-09-01T11:43:00+05:30,24542.85,24544.45,24537.7,24538.3,0,0
2025-09-01T11:44:00+05:30,24537.75,24541.75,24537.6,24538.55,0,0
2025-09-01T11:45:00+05:30,24539.8,24541.95,24532.9,24533.25,0,0
2025-09-01T11:46:00+05:30,24533.8,24535.25,24532.3,24533.7,0,0
2025-09-01T11:47:00+05:30,24532.8,24533.8,24527.65,24529.2,0,0
2025-09-01T11:48:00+05:30,24529.15,24529.8,24526.1,24528.0,0,0
2025-09-01T11:49:00+05:30,24528.4,24529.35,24522.4,24522.65,0,0
2025-09-01T11:50:00+05:30,24522.75,24528.0,24522.15,24526.35,0,0
2025-09-01T11:51:00+05:30,24527.6,24529.35,24523.8,24525.05,0,0
2025-09-01T11:52:00+05:30,24525.4,24527.85,24523.55,24526.35,0,0
2025-09-01T11:53:00+05:30,24526.85,24528.0,24522.75,24523.85,0,0
2025-09-01T11:54:00+05:30,24523.6,24525.15,24519.25,24523.0,0,0
2025-09-01T11:55:00+05:30,24523.25,24524.85,24521.4,24521.8,0,0
2025-09-01T11:56:00+05:30,24521.25,24523.05,24517.95,24519.1,0,0
2025-09-01T11:57:00+05:30,24519.45,24527.5,24519.3,24524.8,0,0
2025-09-01T11:58:00+05:30,24524.6,24526.7,24523.65,24524.3,0,0
2025-09-01T11:59:00+05:30,24523.65,24525.45,24521.3,24522.05,0,0
2025-09-01T12:00:00+05:30,24521.65,24529.3,24521.15,24528.15,0,0
2025-09-01T12:01:00+05:30,24527.9,24535.4,24527.9,24533.55,0,0
2025-09-01T12:02:00+05:30,24533.5,24541.75,24533.5,24539.65,0,0
2025-09-01T12:03:00+05:30,24539.6,24540.55,24536.7,24538.15,0,0
2025-09-01T12:04:00+05:30,24538.3,24539.05,24535.75,24536.5,0,0
2025-09-01T12:05:00+05:30,24536.25,24541.15,24536.25,24539.85,0,0
2025-09-01T12:06:00+05:30,24539.6,24543.1,24538.1,24542.3,0,0
2025-09-01T12:07:00+05:30,24541.75,24543.1,24538.6,24542.05,0,0
2025-09-01T12:08:00+05:30,24543.15,24545.1,24541.4,24542.9,0,0
2025-09-01T12:09:00+05:30,24542.2,24545.25,24539.15,24543.0,0,0
2025-09-01T12:10:00+05:30,24543.05,24544.65,24541.45,24544.05,0,0
2025-09-01T12:11:00+05:30,24543.55,24544.7,24542.1,24544.45,0,0
2025-09-01T12:12:00+05:30,24544.1,24545.95,24541.65,24542.25,0,0
2025-09-01T12:13:00+05:30,24542.15,24544.5,24540.85,24543.15,0,0
2025-09-01T12:14:00+05:30,24543.05,24550.05,24542.9,24546.85,0,0
2025-09-01T12:15:00+05:30,24548.4,24551.0,24545.9,24549.65,0,0
2025-09-01T12:16:00+05:30,24549.5,24553.45,24549.15,24551.2,0,0
2025-09-01T12:17:00+05:30,24551.05,24551.75,24543.6,24544.55,0,0
2025-09-01T12:18:00+05:30,24545.55,24549.05,24545.4,24547.8,0,0
2025-09-01T12:19:00+05:30,24547.5,24550.25,24546.35,24547.5,0,0
2025-09-01T12:20:00+05:30,24547.05,24549.1,24540.25,24541.05,0,0
2025-09-01T12:21:00+05:30,24541.75,24551.05,24541.4,24549.9,0,0
2025-09-01T12:22:00+05:30,24550.4,24551.55,24548.4,24550.15,0,0
2025-09-01T12:23:00+05:30,24549.6,24553.4,24548.85,24552.6,0,0
2025-09-01T12:24:00+05:30,24552.45,24557.65,24550.9,24557.15,0,0
2025-09-01T12:25:00+05:30,24558.35,24562.8,24558.05,24559.9,0,0
2025-09-01T12:26:00+05:30,24560.3,24562.2,24558.3,24562.2,0,0
2025-09-01T12:27:00+05:30,24562.3,24565.45,24562.25,24563.75,0,0
2025-09-01T12:28:00+05:30,24564.05,24573.0,24563.35,24571.8,0,0
2025-09-01T12:29:00+05:30,24572.1,24574.05,24569.35,24571.6,0,0
2025-09-01T12:30:00+05:30,24571.6,24574.5,24571.15,24573.45,0,0
2025-09-01T12:31:00+05:30,24573.95,24574.65,24566.9,24568.75,0,0
2025-09-01T12:32:00+05:30,24568.45,24569.6,24564.05,24564.35,0,0
2025-09-01T12:33:00+05:30,24564.35,24566.15,24563.15,24566.15,0,0
2025-09-01T12:34:00+05:30,24565.55,24569.75,24565.55,24569.05,0,0
2025-09-01T12:35:00+05:30,24570.05,24571.05,24565.65,24566.8,0,0
2025-09-01T12:36:00+05:30,24567.4,24568.8,24558.9,24560.0,0,0
2025-09-01T12:37:00+05:30,24560.0,24569.0,24559.95,24567.3,0,0
2025-09-01T12:38:00+05:30,24568.15,24574.3,24568.15,24574.3,0,0
2025-09-01T12:39:00+05:30,24574.15,24575.8,24565.3,24565.95,0,0
2025-09-01T12:40:00+05:30,24566.3,24570.3,24565.5,24568.05,0,0
2025-09-01T12:41:00+05:30,24567.55,24575.45,24567.3,24571.2,0,0
2025-09-01T12:42:00+05:30,24570.9,24572.2,24559.6,24562.2,0,0
2025-09-01T12:43:00+05:30,24563.7,24565.3,24562.05,24563.2,0,0
2025-09-01T12:44:00+05:30,24563.25,24564.9,24561.6,24563.95,0,0
2025-09-01T12:45:00+05:30,24564.95,24565.0,24559.85,24560.95,0,0
2025-09-01T12:46:00+05:30,24561.1,24566.15,24561.05,24565.8,0,0
2025-09-01T12:47:00+05:30,24565.6,24566.65,24562.5,24564.95,0,0
2025-09-01T12:48:00+05:30,24565.15,24569.65,24564.6,24567.5,0,0
2025-09-01T12:49:00+05:30,24567.5,24570.85,24565.6,24565.6,0,0
2025-09-01T12:50:00+05:30,24566.35,24566.9,24557.45,24557.9,0,0
2025-09-01T12:51:00+05:30,24558.85,24564.05,24557.25,24562.65,0,0
2025-09-01T12:52:00+05:30,24563.0,24566.7,24563.0,24566.1,0,0
2025-09-01T12:53:00+05:30,24566.0,24568.65,24564.7,24568.05,0,0
2025-09-01T12:54:00+05:30,24568.15,24571.35,24564.9,24565.25,0,0
2025-09-01T12:55:00+05:30,24565.3,24565.35,24556.55,24558.85,0,0
2025-09-01T12:56:00+05:30,24559.45,24565.85,24558.4,24560.65,0,0
2025-09-01T12:57:00+05:30,24561.15,24565.1,24559.05,24563.5,0,0
2025-09-01T12:58:00+05:30,24563.35,24566.25,24562.7,24564.75,0,0
2025-09-01T12:59:00+05:30,24564.35,24570.1,24564.2,24569.95,0,0
2025-09-01T13:00:00+05:30,24569.65,24572.65,24569.2,24572.05,0,0
2025-09-01T13:01:00+05:30,24572.35,24574.85,24566.65,24569.05,0,0
2025-09-01T13:02:00+05:30,24569.15,24570.1,24566.5,24567.75,0,0
2025-09-01T13:03:00+05:30,24567.25,24573.5,24567.25,24572.65,0,0
2025-09-01T13:04:00+05:30,24573.05,24579.5,24570.5,24577.9,0,0
2025-09-01T13:05:00+05:30,24578.35,24583.2,24576.95,24578.3,0,0
2025-09-01T13:06:00+05:30,24579.1,24582.0,24577.2,24579.9,0,0
2025-09-01T13:07:00+05:30,24579.6,24589.45,24579.6,24589.45,0,0
2025-09-01T13:08:00+05:30,24588.15,24589.6,24584.45,24586.85,0,0
2025-09-01T13:09:00+05:30,24587.45,24592.2,24586.65,24589.35,0,0
2025-09-01T13:10:00+05:30,24589.0,24592.55,24587.8,24590.3,0,0
2025-09-01T13:11:00+05:30,24590.7,24591.55,24586.0,24587.0,0,0
2025-09-01T13:12:00+05:30,24587.65,24589.6,24583.9,24588.05,0,0
2025-09-01T13:13:00+05:30,24588.75,24590.4,24585.05,24585.05,0,0
2025-09-01T13:14:00+05:30,24584.45,24591.15,24581.05,24590.5,0,0
2025-09-01T13:15:00+05:30,24588.6,24593.15,24588.55,24590.85,0,0
2025-09-01T13:16:00+05:30,24591.5,24594.7,24590.8,24593.1,0,0
2025-09-01T13:17:00+05:30,24593.7,24594.75,24588.7,24589.65,0,0
2025-09-01T13:18:00+05:30,24590.6,24593.3,24588.1,24590.05,0,0
2025-09-01T13:19:00+05:30,24589.45,24593.3,24589.2,24592.75,0,0
2025-09-01T13:20:00+05:30,24592.45,24594.3,24590.4,24593.45,0,0
2025-09-01T13:21:00+05:30,24593.05,24595.7,24592.95,24594.3,0,0
2025-09-01T13:22:00+05:30,24594.65,24595.45,24591.65,24593.05,0,0
2025-09-01T13:23:00+05:30,24592.9,24594.55,24588.0,24589.0,0,0
2025-09-01T13:24:00+05:30,24588.6,24589.5,24587.3,24588.0,0,0
2025-09-01T13:25:00+05:30,24588.6,24588.75,24583.1,24583.25,0,0
2025-09-01T13:26:00+05:30,24583.85,24587.25,24581.7,24586.65,0,0
2025-09-01T13:27:00+05:30,24586.5,24587.2,24581.5,24584.7,0,0
2025-09-01T13:28:00+05:30,24587.3,24593.65,24586.25,24591.4,0,0
2025-09-01T13:29:00+05:30,24591.75,24594.7,24589.7,24592.9,0,0
2025-09-01T13:30:00+05:30,24594.15,24597.8,24593.4,24595.95,0,0
2025-09-01T13:31:00+05:30,24596.6,24601.4,24596.6,24599.25,0,0
2025-09-01T13:32:00+05:30,24600.25,24604.35,24598.55,24601.3,0,0
2025-09-01T13:33:00+05:30,24603.85,24606.6,24601.85,24601.85,0,0
2025-09-01T13:34:00+05:30,24602.8,24603.7,24598.9,24601.0,0,0
2025-09-01T13:35:00+05:30,24601.15,24603.1,24599.45,24600.5,0,0
2025-09-01T13:36:00+05:30,24600.2,24605.3,24600.2,24603.4,0,0
2025-09-01T13:37:00+05:30,24603.2,24603.45,24597.25,24599.35,0,0
2025-09-01T13:38:00+05:30,24598.1,24603.0,24598.1,24601.1,0,0
2025-09-01T13:39:00+05:30,24599.95,24605.2,24599.35,24603.2,0,0
2025-09-01T13:40:00+05:30,24603.15,24604.3,24597.4,24597.4,0,0
2025-09-01T13:41:00+05:30,24597.35,24599.5,24595.0,24595.0,0,0
2025-09-01T13:42:00+05:30,24595.55,24596.35,24588.2,24593.25,0,0
2025-09-01T13:43:00+05:30,24593.15,24600.4,24592.65,24593.7,0,0
2025-09-01T13:44:00+05:30,24592.6,24596.25,24591.8,24593.7,0,0
2025-09-01T13:45:00+05:30,24594.25,24596.45,24591.3,24594.7,0,0
2025-09-01T13:46:00+05:30,24595.15,24600.45,24595.05,24599.25,0,0
2025-09-01T13:47:00+05:30,24599.2,24600.05,24592.15,24592.15,0,0
2025-09-01T13:48:00+05:30,24592.0,24595.85,24591.1,24595.2,0,0
2025-09-01T13:49:00+05:30,24594.65,24598.25,24594.35,24596.7,0,0
2025-09-01T13:50:00+05:30,24596.65,24600.85,24596.65,24597.7,0,0
2025-09-01T13:51:00+05:30,24597.95,24599.35,24591.45,24598.15,0,0
2025-09-01T13:52:00+05:30,24598.4,24606.75,24597.55,24601.15,0,0
2025-09-01T13:53:00+05:30,24600.95,24604.4,24596.0,24597.45,0,0
2025-09-01T13:54:00+05:30,24596.8,24597.6,24593.7,24595.75,0,0
2025-09-01T13:55:00+05:30,24596.2,24599.9,24596.2,24599.45,0,0
2025-09-01T13:56:00+05:30,24598.75,24602.65,24598.25,24600.3,0,0
2025-09-01T13:57:00+05:30,24600.4,24602.5,24598.5,24598.85,0,0
2025-09-01T13:58:00+05:30,24599.55,24602.05,24597.3,24598.4,0,0
2025-09-01T13:59:00+05:30,24598.55,24599.25,24593.9,24597.2,0,0
2025-09-01T14:00:00+05:30,24597.4,24603.9,24597.1,24602.2,0,0
2025-09-01T14:01:00+05:30,24602.25,24604.75,24601.3,24601.65,0,0
2025-09-01T14:02:00+05:30,24603.25,24604.2,24598.65,24599.75,0,0
2025-09-01T14:03:00+05:30,24600.2,24605.85,24600.2,24603.45,0,0
2025-09-01T14:04:00+05:30,24604.45,24607.35,24601.9,24606.05,0,0
2025-09-01T14:05:00+05:30,24606.65,24609.9,24604.3,24604.3,0,0
2025-09-01T14:06:00+05:30,24604.2,24609.95,24602.0,24608.2,0,0
2025-09-01T14:07:00+05:30,24607.8,24609.05,24605.4,24607.85,0,0
2025-09-01T14:08:00+05:30,24607.7,24609.9,24606.55,24609.45,0,0
2025-09-01T14:09:00+05:30,24609.3,24614.95,24609.3,24613.75,0,0
2025-09-01T14:10:00+05:30,24612.75,24615.95,24612.0,24614.4,0,0
2025-09-01T14:11:00+05:30,24614.15,24616.2,24610.2,24612.65,0,0
2025-09-01T14:12:00+05:30,24612.2,24616.95,24611.95,24615.55,0,0
2025-09-01T14:13:00+05:30,24615.45,24617.0,24611.25,24612.45,0,0
2025-09-01T14:14:00+05:30,24616.4,24620.35,24614.05,24617.95,0,0
2025-09-01T14:15:00+05:30,24617.1,24619.35,24613.7,24616.45,0,0
2025-09-01T14:16:00+05:30,24616.6,24617.95,24608.75,24610.0,0,0
2025-09-01T14:17:00+05:30,24610.3,24613.8,24610.3,24612.45,0,0
2025-09-01T14:18:00+05:30,24612.55,24614.3,24608.45,24610.9,0,0
2025-09-01T14:19:00+05:30,24611.15,24612.4,24609.35,24610.4,0,0
2025-09-01T14:20:00+05:30,24610.6,24614.05,24610.15,24611.95,0,0
2025-09-01T14:21:00+05:30,24612.3,24613.85,24607.15,24609.65,0,0
2025-09-01T14:22:00+05:30,24609.95,24610.75,24607.6,24609.6,0,0
2025-09-01T14:23:00+05:30,24611.7,24613.65,24609.3,24609.85,0,0
2025-09-01T14:24:00+05:30,24610.7,24612.5,24609.4,24609.5,0,0
2025-09-01T14:25:00+05:30,24609.35,24611.55,24608.45,24610.3,0,0
2025-09-01T14:26:00+05:30,24610.3,24611.0,24606.75,24608.95,0,0
2025-09-01T14:27:00+05:30,24608.65,24609.0,24601.15,24603.1,0,0
2025-09-01T14:28:00+05:30,24602.75,24605.65,24601.35,24602.25,0,0
2025-09-01T14:29:00+05:30,24602.05,24602.4,24598.8,24600.95,0,0
2025-09-01T14:30:00+05:30,24600.95,24607.15,24600.55,24606.6,0,0
2025-09-01T14:31:00+05:30,24606.4,24610.95,24604.75,24609.65,0,0
2025-09-01T14:32:00+05:30,24609.7,24610.15,24604.75,24606.3,0,0
2025-09-01T14:33:00+05:30,24608.65,24615.4,24607.8,24614.05,0,0
2025-09-01T14:34:00+05:30,24617.1,24617.4,24614.0,24616.05,0,0
2025-09-01T14:35:00+05:30,24616.1,24619.1,24614.55,24616.0,0,0
2025-09-01T14:36:00+05:30,24616.45,24616.55,24612.9,24615.95,0,0
2025-09-01T14:37:00+05:30,24615.5,24616.9,24614.2,24614.35,0,0
