date,open,high,low,close,volume,oi,source
2026-03-25T09:15:00+05:30,25.05,25.05,25.05,25.05,0,0,real
2026-03-25T09:16:00+05:30,24.91,24.91,24.91,24.91,0,0,real
2026-03-25T09:17:00+05:30,24.94,24.94,24.94,24.94,0,0,real
2026-03-25T09:18:00+05:30,24.9,24.9,24.9,24.9,0,0,real
2026-03-25T09:19:00+05:30,24.95,24.95,24.95,24.95,0,0,real
2026-03-25T09:20:00+05:30,24.87,24.87,24.87,24.87,0,0,real
2026-03-25T09:21:00+05:30,24.83,24.83,24.83,24.83,0,0,real
2026-03-25T09:22:00+05:30,24.84,24.84,24.84,24.84,0,0,real
2026-03-25T09:23:00+05:30,24.86,24.86,24.86,24.86,0,0,real
2026-03-25T09:24:00+05:30,24.88,24.88,24.88,24.88,0,0,real
2026-03-25T09:25:00+05:30,24.89,24.89,24.89,24.89,0,0,real
2026-03-25T09:26:00+05:30,24.82,24.82,24.82,24.82,0,0,real
2026-03-25T09:27:00+05:30,24.78,24.78,24.78,24.78,0,0,real
2026-03-25T09:28:00+05:30,24.77,24.77,24.77,24.77,0,0,real
2026-03-25T09:29:00+05:30,24.73,24.73,24.73,24.73,0,0,real
2026-03-25T09:30:00+05:30,24.8,24.8,24.8,24.8,0,0,real
2026-03-25T09:31:00+05:30,24.83,24.83,24.83,24.83,0,0,real
2026-03-25T09:33:00+05:30,24.79,24.79,24.79,24.79,0,0,real
2026-03-25T09:34:00+05:30,24.72,24.72,24.72,24.72,0,0,real
2026-03-25T09:35:00+05:30,24.72,24.72,24.72,24.72,0,0,real
2026-03-25T09:36:00+05:30,24.67,24.67,24.67,24.67,0,0,real
2026-03-25T09:37:00+05:30,24.63,24.63,24.63,24.63,0,0,real
2026-03-25T09:38:00+05:30,24.55,24.55,24.55,24.55,0,0,real
2026-03-25T09:39:00+05:30,24.64,24.64,24.64,24.64,0,0,real
2026-03-25T09:40:00+05:30,24.7,24.7,24.7,24.7,0,0,real
2026-03-25T09:41:00+05:30,24.65,24.65,24.65,24.65,0,0,real
2026-03-25T09:42:00+05:30,24.65,24.65,24.65,24.65,0,0,real
2026-03-25T09:43:00+05:30,24.55,24.55,24.55,24.55,0,0,real
2026-03-25T09:44:00+05:30,24.54,24.54,24.54,24.54,0,0,real
2026-03-25T09:45:00+05:30,24.61,24.61,24.61,24.61,0,0,real
2026-03-25T09:46:00+05:30,24.59,24.59,24.59,24.59,0,0,real
2026-03-25T09:47:00+05:30,24.63,24.63,24.63,24.63,0,0,real
2026-03-25T09:48:00+05:30,24.62,24.62,24.62,24.62,0,0,real
2026-03-25T09:49:00+05:30,24.59,24.59,24.59,24.59,0,0,real
2026-03-25T09:50:00+05:30,24.61,24.61,24.61,24.61,0,0,real
2026-03-25T09:51:00+05:30,24.67,24.67,24.67,24.67,0,0,real
2026-03-25T09:52:00+05:30,24.68,24.68,24.68,24.68,0,0,real
2026-03-25T09:53:00+05:30,24.65,24.65,24.65,24.65,0,0,real
2026-03-25T09:54:00+05:30,24.67,24.67,24.67,24.67,0,0,real
2026-03-25T09:55:00+05:30,24.71,24.71,24.71,24.71,0,0,real
2026-03-25T09:56:00+05:30,24.66,24.66,24.66,24.66,0,0,real
2026-03-25T09:57:00+05:30,24.62,24.62,24.62,24.62,0,0,real
2026-03-25T09:58:00+05:30,24.6,24.6,24.6,24.6,0,0,real
2026-03-25T09:59:00+05:30,24.65,24.65,24.65,24.65,0,0,real
2026-03-25T10:00:00+05:30,24.55,24.55,24.55,24.55,0,0,real
2026-03-25T10:01:00+05:30,24.52,24.52,24.52,24.52,0,0,real
2026-03-25T10:02:00+05:30,24.52,24.52,24.52,24.52,0,0,real
2026-03-25T10:03:00+05:30,24.57,24.57,24.57,24.57,0,0,real
2026-03-25T10:04:00+05:30,24.59,24.59,24.59,24.59,0,0,real
2026-03-25T10:05:00+05:30,24.57,24.57,24.57,24.57,0,0,real
2026-03-25T10:06:00+05:30,24.76,24.76,24.76,24.76,0,0,real
2026-03-25T10:07:00+05:30,24.72,24.72,24.72,24.72,0,0,real
2026-03-25T10:08:00+05:30,24.65,24.65,24.65,24.65,0,0,real
2026-03-25T10:09:00+05:30,24.62,24.62,24.62,24.62,0,0,real
2026-03-25T10:10:00+05:30,24.67,24.67,24.67,24.67,0,0,real
2026-03-25T10:11:00+05:30,24.65,24.65,24.65,24.65,0,0,real
2026-03-25T10:12:00+05:30,24.63,24.63,24.63,24.63,0,0,real
2026-03-25T10:13:00+05:30,24.62,24.62,24.62,24.62,0,0,real
2026-03-25T10:14:00+05:30,24.62,24.62,24.62,24.62,0,0,real
2026-03-25T10:15:00+05:30,24.58,24.58,24.58,24.58,0,0,real
2026-03-25T10:16:00+05:30,24.57,24.57,24.57,24.57,0,0,real
2026-03-25T10:17:00+05:30,24.56,24.56,24.56,24.56,0,0,real
2026-03-25T10:18:00+05:30,24.55,24.55,24.55,24.55,0,0,real
2026-03-25T10:19:00+05:30,24.63,24.63,24.63,24.63,0,0,real
2026-03-25T10:20:00+05:30,24.66,24.66,24.66,24.66,0,0,real
2026-03-25T10:21:00+05:30,24.66,24.66,24.66,24.66,0,0,real
2026-03-25T10:22:00+05:30,24.63,24.63,24.63,24.63,0,0,real
2026-03-25T10:23:00+05:30,24.68,24.68,24.68,24.68,0,0,real
